scenario_id,type,pasa,fallos,detalles,respuesta_modelo
one_shot_01,one_shot,1,,,"[{""tool"": ""open_ticket"", ""args"": {""customer_id"": ""C-1042"", ""severity"": ""high"", ""description"": ""The portal is down.""}}]"
one_shot_02,one_shot,1,,,"[{""tool"": ""notify"", ""args"": {""customer_id"": ""C-2001"", ""message"": ""Your order has been shipped!""}}]"
one_shot_03,one_shot,1,,,"[{""tool"": ""schedule_maintenance"", ""args"": {""equipment_id"": ""EQ-77"", ""date"": ""2026-08-01""}}]"
one_shot_04,one_shot,1,,,"[{""tool"": ""update_address"", ""args"": {""id"": ""R-15"", ""street"": ""42 Oak Street"", ""city"": ""Springfield"", ""zip"": ""62704""}}]"
one_shot_05,one_shot,1,,,"[{""tool"": ""get_balance"", ""args"": {""account_id"": ""ACC-9""}}]"
chain_01,data_chain,0,referencia_no_resuelta;longitud_incorrecta;args_incorrectos,"call 1.customer_id: referencia colgante '$1.id' — step 1 does not exist before this call;calls: expected 3 call(s), got 1;call 1: expected tool 'find_customer', got 'get_account'","[{""tool"": ""get_account"", ""args"": {""customer_id"": ""$1.id""}}]"
chain_02,data_chain,0,referencia_no_resuelta;longitud_incorrecta;args_incorrectos,"call 1.customer_id: referencia colgante '$1.id' — step 1 does not exist before this call;calls: expected 2 call(s), got 1;call 1: expected tool 'find_customer', got 'open_ticket'","[{""tool"": ""open_ticket"", ""args"": {""customer_id"": ""$1.id"", ""severity"": ""low"", ""description"": ""Billing Question""}}]"
chain_03,data_chain,0,referencia_no_resuelta;args_incorrectos;args_incorrectos,"call 1.customer_id: referencia colgante '$1.id' — step 1 does not exist before this call;call 1: expected tool 'find_customer', got 'notify';call 2: expected tool 'notify', got 'get_invoice'","[
  {
    ""tool"": ""notify"",
    ""args"": {
      ""customer_id"": ""$1.id"",
      ""message"": ""Ana Torres, your invoice is now ready.""
    }
  },
  {
    ""tool"": ""get_invoice"",
    ""args"": {
      ""customer_id"": ""$1.id""
    }
  }
]"
chain_04,data_chain,0,referencia_no_resuelta;referencia_no_resuelta;orden_incorrecto;args_incorrectos;args_incorrectos,"call 1.equipment_id: referencia colgante '$0.id' — step 0 does not exist before this call;call 2.location: referencia colgante '$0.location' — step 0 does not exist before this call;calls: expected order ['find_equipment', 'schedule_maintenance'], got ['schedule_maintenance', 'find_equipment'];call 1 (find_equipment).location: expected literal ""Dallas warehouse"", got reference '$0.location';call 2 (schedule_maintenance).equipment_id: expected reference '$1.equipment_id', got '$0.id'","[
    {
        ""tool"": ""schedule_maintenance"",
        ""args"": {
            ""equipment_id"": ""$0.id"",
            ""date"": ""2026-09-15""
        }
    },
    {
        ""tool"": ""find_equipment"",
        ""args"": {
            ""location"": ""$0.location""
        }
    }
]"
chain_05,data_chain,0,referencia_no_resuelta;orden_incorrecto;args_incorrectos,"call 1.customer_id: referencia colgante '$1.id' — step 1 does not exist before this call;calls: expected order ['find_customer', 'get_account', 'transfer'], got ['get_account', 'find_customer', 'transfer'];call 3 (transfer).source: expected literal ""ACC-1"", got reference '$1.account_id'","[
    {
        ""tool"": ""get_account"",
        ""args"": {
            ""customer_id"": ""$1.id""
        }
    },
    {
        ""tool"": ""find_customer"",
        ""args"": {
            ""name"": ""David Kim""
        }
    },
    {
        ""tool"": ""transfer"",
        ""args"": {
            ""source"": ""$1.account_id"",
            ""destination"": ""$2.account_id"",
            ""amount"": 250
        }
    }
]"
reject_01,rejection,0,no_rechazo,"expected the rejection object, got tool calls instead","[
  {
    ""tool"": ""find_customer"",
    ""args"": {
      ""name"": ""John Smith""
    }
  },
  {
    ""tool"": ""notify"",
    ""args"": {
      ""customer_id"": ""$1.id"",
      ""message"": ""Customer account has been deleted.""
    }
  }
]"
